line,lemmas
"Действительной проблемой является внутреннее состояние души и мышления человечества. Это не физическая проблема, а проблема этики. Что нас пугает, это не взрывная сила атомной бомбы, но сила озлобленности человеческого сердца, взрывная сила для озлобления.
",действительный проблема являться внутренний состояние душа мышление человечество это физический проблема проблема этика пугать это взрывной сила атомный бомба сила озлобленность человеческий сердце взрывной сила озлобление
"Здравый смысл — это сумма предубеждений, приобретённых до восемнадцатилетнего возраста.
",здравый смысл  —  это сумма предубеждение приобретать восемнадцатилетний возраст
"Единственная причина для существования времени — чтобы все не случилось одновременно.
",единственный причина существование время  —  случаться одновременно
"Морскую болезнь вызывают у меня люди, а не море. Но, боюсь, наука ещё не нашла лекарства от этого недуга.
",морской болезнь вызывать человек море бояться наука находить лекарство недуг
"Созданный сегодня нами мир как результат нашего мышления, до сих пор имеет проблемы, которые не могут быть решены, если думать таким же образом как при их образовании.
",создавать сегодня мир результат наш мышление сей пора иметь проблема который мочь решать думать образ образование
"Я слишком сумасшедший, чтобы не быть гением.
",слишком сумасшедший гений
"Возьмем совершенно нецивилизованного индейца. Будет ли его жизненный опыт менее богатым и счастливым, чем опыт среднего цивилизованного человека? Думаю, что вряд ли. Глубокий смысл кроется в том, что дети во всех цивилизованных странах любят играть в индейцев.
",взять совершенно нецивилизованный индеец жизненный опыт менее богатый счастливый опыт средний цивилизованный человек думать вряд глубокий смысл крыться ребенок весь цивилизованный страна любить играть индеец
"Почему лучшие идеи осеняют меня, когда я моюсь в душе?
",почему хороший идея осенять мыться душа
"Наука не является и никогда не будет являться законченной книгой. Каждый важный успех приносит новые вопросы. Всякое развитие обнаруживает со временем все новые и более глубокие трудности.
",наука являться являться заканчивать книга каждый важный успех приносить новый вопрос всякий развитие обнаруживать время весь новый глубокий трудность
"Наука может быть создана только теми, кто насквозь пропитан стремлением к истине и пониманию. Но источник этого чувства берёт начало из области религии. Оттуда же — вера в возможность того, что правила этого мира рациональны, то есть постижимы для разума. Я не могу представить настоящего учёного без крепкой веры в это. Образно ситуацию можно описать так: наука без религии — хромая, а религия без науки — слепа.
",наука мочь создавать насквозь пропитывать стремление истина понимание источник чувство брать начало область религия оттуда  —  вера возможность правило мир рациональный постижимый разум мочь представлять настоящий ученый крепкий вера это образно ситуация описывать наука религия  —  хромой религия наука  —  слепой
"Самое прекрасное, что мы можем испытать – это ощущение тайны. Она источник всякого подлинного искусства и науки. Тот, кто никогда не испытал этого чувства, кто не умеет остановиться и задуматься, охваченный робким восторгом, тот подобен мертвецу, и глаза его закрыты. Проникновение в тайну жизни, сопряженное со страхом, дало толчок для возникновения религии. Знать, что непостижимое действительно существует, проявляя себя через величайшую мудрость и самую совершенную красоту, которую наши ограниченные способности могут постичь только в самых примитивных формах, — это знание, это чувство и служит основой настоящей религиозности.
","самый прекрасный мочь испытывать  –  это ощущение тайна источник всякий подлинный искусство наука испытывать чувство уметь останавливаться задумываться охватывать робкий восторг подобный мертвец глаз закрывать проникновение тайна жизнь сопряженный страх давать толчок возникновение религия знать непостижимый действительно существовать проявлять великий мудрость самый совершенный красота который наш ограничивать способность мочь постигать самый примитивный форма , —  это знание чувство служить основа настоящий религиозность"
"Наши убеждения и представления часто являются ловушкой, ограничивающей наши возможности. Единственным знанием, способным продвинуть нас на пути развития, является знание того, что воображение способно на все. И все, что возможно в нашем воображении, возможно и в реальности.
",наш убеждение представление часто являться ловушка ограничивать наш возможность единственный знание способный продвигать путь развитие являться знание воображение способный весь возможно наш воображение возможный реальность
"Видите ли, проводной телеграф – это как очень, очень длинный кот. Вы тянете его за хвост в Нью-Йорке, а его голова мяукает в Лос-Анджелесе. Понимаете? А радио работает так же: Вы посылаете сигналы тут, их принимают там. Вся разница — нет никакого кота.
",видеть проводной телеграф  –  это очень очень длинный кот тянуть хвост нью-йорк голова мяукать лос-анджелес понимать радио работать посылать сигнал принимать весь разница  —  никакой кот
"Воображение — это всё. Это предварительный показ предстоящих событий в жизни.
",воображение  —  это весь это предварительный показ предстоящий событие жизнь
"Не хочу быть успешным человеком, но человеком, который чего-то стоит.
",хотеть успешный человек человек который что-то стоять
"Сила всегда привлекает людей с низкими моральными качествами.
",сила привлекать человек низкий моральный качество
"Я не знаю, каким оружием будет вестись третья мировая война, но четвёртая — палками и камнями.
",знать оружие вестись третий мировой война четвертый  —  палка камень
"Если вы хотите вести счастливую жизнь, вы должны быть привязаны к цели, а не к людям или к вещам.
",хотеть вести счастливый жизнь должный привязывать цель человек вещь
"Среди беспорядка найдите простоту; среди раздора найдите гармонию; в трудности найдите возможность…
",среди беспорядок находить простота среди раздор находить гармония трудность находить возможность …
"Счастливый человек слишком удовлетворен настоящим, чтобы слишком много думать о будущем.
",счастливый человек слишком удовлетворять настоящий слишком думать будущее
"Информация в чистом виде ‒ это не знание. Настоящий источник знания ‒ это опыт.
",информация чистый вид  ‒  это знание настоящий источник знание  ‒  это опыт
"Никакая цель не высока настолько, чтобы оправдывала недостойные средства для ее достижения.
",никакой цель высокий настолько оправдывать недостойный средство достижение
"Я не верю в Бога, который награждает и карает, в Бога, цели которого слеплены с наших человеческих целей. Я не верю в бессмертие души, хотя слабые умы, одержимые страхом или нелепым эгоизмом, находят себе пристанище в такой вере.
",верить бог который награждать карать бог цель который слеплять наш человеческий цель верить бессмертие душа хотя слабый ум одержимый страх нелепый эгоизм нахаживать пристанище вера
"Воображение важнее, чем знания. Знания ограничены, тогда как воображение охватывает целый мир, стимулируя прогресс, порождая эволюцию.
",воображение важный знание знание ограничивать воображение охватывать целый мир стимулировать прогресс порождать эволюция
"Единственное, что мешает мне учиться, — это полученное мной образование.
","единственный мешать учиться , —  получать образование"
"Математика — это единственный совершенный метод водить самого себя за нос.
",математика  —  это единственный совершенный метод водить нос
"Жизнь отдельного человека имеет смысл лишь в той степени, насколько она помогает сделать жизни других людей красивее и благороднее. Жизнь священна; это, так сказать, верховная ценность, которой подчинены все прочие ценности.
",жизнь отдельный человек иметь смысл лишь степень насколько помогать сделать жизнь человек красивый благородно жизнь священный это сказать верховный ценность который подчинять весь прочий ценность
"Человек — это часть целого, которое мы называем Вселенной, часть, ограниченная во времени и в пространстве. Он ощущает себя, свои мысли и чувства как нечто отдельное от всего остального мира, что является своего рода оптическим обманом. Эта иллюзия стала темницей для нас, ограничивающей нас миром собственных желаний и привязанностью к узкому кругу близких нам людей. Наша задача — освободиться из этой тюрьмы, расширив сферу своего участия до всякого живого существа, до целого мира, во всем его великолепии. Никто не сможет выполнить такую задачу до конца, но уже сами попытки достичь эту цель являются частью освобождения и основанием для внутренней уверенности.
",человек  —  это часть целый который называть вселенная часть ограниченный время пространство ощущать свой мысль чувство нечто отдельный весь остальной мир являться свой род оптический обман иллюзия становиться темница ограничивать мир собственный желание привязанность узкий круг близкий человек наш задача  —  освобождаться тюрьма расширять сфера свой участие всякий живой существо целый мир великолепие никто смочь выполнять задача конец попытка достигать цель являться часть освобождение основание внутренний уверенность
"Здравый смысл говорит нам, что Земля плоская.
",здравый смысл говорить земля плоский
"Технический прогресс подобен топору в руках патологического преступника.
",технический прогресс подобный топор рука патологический преступник
"Какая печальная эпоха, когда легче разбить атом, чем отказаться от предрассудков.
",печальный эпоха легко разбивать атом отказываться предрассудок
"Человек — это часть целого, которое мы называем Вселенной, часть, ограниченная во времени и в пространстве.
",человек  —  это часть целый который называть вселенная часть ограниченный время пространство
"Действительность — это иллюзия, хотя и очень стойкая.
",действительность  —  это иллюзия хотя очень стойкий
"Настоящий прогресс человечества зависит не столько от изобретательного ума, сколько от сознательности.
",настоящий прогресс человечество зависеть столько изобретательный ум сколько сознательность
"Уравнения для меня важнее, потому что политика — для настоящего, а уравнения — для вечности.
",уравнение важный политика  —  настоящий уравнение  —  вечность
"Высвобождение атомной энергии изменило всё, кроме нашего мышления… Решение этой проблемы лежит в сердце человечества. Если бы я мог это предвидеть, я бы стал часовщиком.
",высвобождение атомный энергия изменять весь кроме наш мышление … решение проблема лежать сердце человечество мочь это предвидеть становиться часовщик
"Все это так не потому, что я такой умный. Это все из-за того, что я долго не сдаюсь при решении задачи.
",это умный это из-за долго сдаваться решение задача
"Умные люди пытаются решать проблемы, блестящие стараются их не делать!
",умный человек пытаться решать проблема блестящий стараться делать
"Когда сидишь рядом с хорошенькой девушкой, час кажется минутой, а когда сядешь на горячую сковородку, то минута кажется часом.
",сидеть рядом хорошенький девушка час казаться минута садиться горячий сковородка минута кажется час
"Трагедия переживания себя, как отдельного от всех других, — это то заблуждение, которое становится нашей тюрьмой.
","трагедия переживание отдельный , —  это заблуждение который становиться наш тюрьма"
"Друг - это человек, который знает мелодию вашего сердца, которая будет петь вам, когда вы забудете об этом.
",друг это человек который знать мелодия ваш сердце который петь забывать это
"Я не могу поверить в бога, как в существо, которое оказывает непосредственное влияние на поступки отдельных людей или вершит суд над своими созданиями. Я не в состоянии в него верить, хотя механическая причинность современной науки в известной мере ставится под сомнение. Моя вера заключается в смиренном поклонении духу, несравненно превосходящему нас и раскрывающемуся нам в том немногом, что мы способны познать нашим слабым, бренным разумом. Мораль очень важна, но не для бога, а для нас.
",мочь поверять бог существо который оказывать непосредственный влияние поступок отдельный человек вершить суд свой создание состояние верить хотя механический причинность современный наука известный мера ставиться сомнение вера заключаться смиренный поклонение дух несравненно превосходить раскрываться немногое способный познавать наш слабый бренный разум мораль очень важный бог
"Благоприятная возможность скрывается среди трудностей и проблем.
",благоприятный возможность скрываться среди трудность проблема
"Я не могу себе представить настоящего учёного, который не обладал бы глубокой верой. Это можно выразить и так: нельзя верить в безбожную науку.
",мочь представлять настоящий ученый который обладать глубокий вера это выражать верить безбожный наука
"Этичное поведение должно основываться на симпатии к людям, образованности и социальных связях; религиозная основа вовсе не нужна.
",этичный поведение должно основываться симпатия человек образованность социальный связь религиозный основа вовсе нужный
"Познание атома – детская игра по сравнению с загадками детской игры.
",познание атом  –  детский игра сравнение загадка детский игра
"Подлинная ценность человека в первую очередь определяется мерой и смыслом, в каких он сумел отрешиться от своего «я».
",подлинный ценность человек первый очередь определяться мера смысл суметь отрешаться свой  « »
"Выдающиеся личности формируются не посредством красивых речей, а собственным трудом и его результатами.
",выдающийся личность формироваться посредством красивый речь собственный труд результат
"Человек ощущает себя, свои мысли и чувства, отделенными от всего мира — и это его оптический обман. Эта иллюзия стала темницей для нас, ограничивающей нас миром собственных желаний. Наша задача — освободиться из этой тюрьмы, расширив сферу своего участия до всякого живого существа, до целого мира. Никто не сможет выполнить эту задачу до конца, но попытки достичь этой цели, являются частью освобождения.
",человек ощущать свой мысль чувство отделять весь мир  —  это оптический обман иллюзия становиться темница ограничивать мир собственный желание наш задача  —  освобождаться тюрьма расширять сфера свой участие всякий живой существо целый мир никто смочь выполнять задача конец попытка достигать цель являться часть освобождение
"Вечно непознаваемое в мире — это то в нем, что кажется нам понятным.
",вечно непознаваемый мир  —  это казаться понятный
"Великие личности всегда наталкиваются на яростное противодействие посредственных умов.
",великий личность наталкиваться яростный противодействие посредственный ум
"Это очень просто, мои дорогие: потому что политика гораздо сложнее, чем физика.
",это очень просто дорогой политика гораздо сложный физика
"Чем дальше уходит человечество по пути духовного и интеллектуального развития, тем очевиднее для меня то, что подлинная религиозность достигается не из-за страха перед жизнью и смертью, не благодаря слепой вере, а через стремление к знанию.
",далеко уходить человечество путь духовный интеллектуальный развитие очевидно подлинный религиозность достигаться из-за страх жизнь смерть благодаря слепой вера стремление знание
"Вся наука является не чем иным, как усовершенствованием повседневного мышления.
",весь наука являться иной усовершенствование повседневный мышление
"Если люди хороши только из-за боязни наказания и желания награды, то мы действительно жалкие создания.
",человек хороший из-за боязнь наказание желание награда действительно жалкий создание
"Забота о человеке и его судьбе всегда должна быть во главе любой технологической разработки. Никогда не забывай об этом среди своих уравнений и диаграмм.
",забота человек судьба должный глава любой технологический разработка забывать это среди свой уравнение диаграмма
"Лишь немногие в состоянии спокойно высказывать мнения, расходящиеся с предрассудками окружающей среды, большинство же людей вообще неспособно прийти к такого рода мнениям.
",лишь немногий состояние спокойно высказывать мнение расходиться предрассудок окружающий среда большинство человек вообще неспособный приходить род мнение
"Какой глубокой уверенностью в рациональном устройстве мира и какой жаждой познания даже мельчайших отблесков рациональности, проявляющейся в этом мире, должны были обладать Кеплер и Ньютон. Люди такого склада черпают силу в космическом религиозном чувстве. Один из наших современников сказал, и не без основания, что в наш материалистический век серьезными учеными могут быть только глубоко религиозные люди.
",глубокий уверенность рациональный устройство мир жажда познание мелкий отблеск рациональность проявляться мир должный обладать кеплер ньютон человек склад черпать сила космический религиозный чувство наш современник сказать основание наш материалистический век серьезный ученый мочь глубоко религиозный человек
"Я не просто пацифист, я воинствующий пацифист. Я готов бороться за мир. Ничто не закончится войной, если сами люди откажутся идти на войну.
",просто пацифист воинствующий пацифист готовый бороться мир ничто заканчиваться война человек отказываться идти война
"Малое знание — опасная вещь, впрочем, как и большое.
",малый знание  —  опасный вещь большой
"Умный человек разрешает проблему. Мудрый человек избегает её.
",умный человек разрешать проблема мудрый человек избегать
"Поскольку нам, учёным, уготована трагическая участь – ещё более повышать чудовищную эффективность средств уничтожения, наш самый торжественный и благородный долг состоит в том, чтобы всеми силами воспрепятствовать использованию этого оружия для тех жестоких целей, для которых оно было изобретено.
",поскольку ученый уготовать трагический участь  –  повышать чудовищный эффективность средство уничтожение наш самый торжественный благородный долг состоять весь сила воспрепятствовать использование оружие жестокий цель который оно изобретать
"Единственное, что может направить нас к благородным мыслям и поступкам, — это пример великих и нравственно чистых личностей.
","единственный мочь направлять благородный мысль поступок , —  это пример великий нравственный чистый личность"
"Когда нормальный человек ищет иголку в стоге сена и рано или поздно её находит, он успокаивается. Гений в отличие от нормального человека попытается найти все возможные иголки.
",нормальный человек искать иголка стог сено рано поздно находить успокаиваться гений отличие нормальный человек попытаться находить весь возможный иголка
"Самое прекрасное из всего, что мы можем переживать, — это непостижимое. Оно служит источником подлинных искусства и науки.
","самый прекрасный мочь переживать , —  это непостижимый оно служить источник подлинный искусство наука"
"Слово ""Бог"" для меня всего лишь проявление и продукт человеческих слабостей, а Библия — свод почтенных, но всё же примитивных легенд, которые, тем не менее, являются довольно ребяческими. Никакая, даже самая изощрённая, интерпретация не сможет это (для меня) изменить.
",слово бог лишь проявление продукт человеческий слабость библия  —  свод почтенный примитивный легенда который менее являться довольно ребяческий никакой самый изощренный интерпретация смочь это изменять
"Военная промышленность в действительности — величайшая опасность для человечества. Она — черная движущая сила, скрытая за повсюду распространяющимся национализмом.
",военный промышленность действительность  —  великий опасность человечество  —  черный движущий сила скрывать повсюду распространяться национализм
"Каждый серьезный естествоиспытатель должен быть каким-то образом человеком религиозным. Иначе он не способен себе представить, что те невероятно тонкие взаимозависимости, которые он наблюдает, выдуманы не им. В бесконечном универсуме обнаруживается деятельность бесконечно совершенного Разума. Обычное представление обо мне, как об атеисте — большое заблуждение. Если это представление почерпнуто из моих научных работ, могу сказать, что мои научные работы не поняты.
",каждый серьезный естествоиспытатель должный какой-то образ человек религиозный иначе способный представлять невероятно тонкий взаимозависимость который наблюдать выдумывать бесконечный универсум обнаруживаться деятельность бесконечно совершенный разум обычный представление обо атеист  —  большой заблуждение представление почерпать научный работа мочь сказать научный работа понимать
"Я не верю в персонифицированное божество и никогда этого не отрицал, а всегда ясно об этом говорил. Если во мне есть что-то, что можно назвать религиозным, то это — безграничное восхищение структурой мироздания, насколько наша наука может ее постичь.
",верить персонифицировать божество это отрицать ясно это говорить что-то называть религиозный  —  безграничный восхищение структура мироздание насколько наш наука мочь постигать
"Национализм — детская болезнь. Это корь человечества.
",национализм  —  детский болезнь это корь человечество
"Мир — сумасшедший дом. Известность означает всё.
",мир  —  сумасшедший дом известность означать
"Учитесь у вчера, живите сегодня, надейтесь на завтра. Главное — не прекращать задавать вопросы… Никогда не теряйте священной любознательности.
",учиться вчера жить сегодня надеяться завтра главное  —  прекращать задавать вопрос … терять священный любознательность
"Чем больше моя слава, тем я больше тупею; и таково, несомненно, общее правило.
",слава тупеть таков несомненно общий правило
"Вы должны изучить правила игры. И тогда вы будете играть лучше, чем кто-либо ещё.
",должный изучать правило игра играть кто-либо
"Часто случалось, что существенный успех был достигнут проведением последовательной аналогии между несвязанными по виду явлениями.
",часто случаться существенный успех достигать проведение последовательный аналогия несвязанный вид явление
"Если вы хотите, чтобы ваши дети были умными, читайте им сказки. Если вы хотите, чтобы они были умнее, читайте им ещё больше сказок.
",хотеть ваш ребенок умный читать сказка хотеть умный читать сказка
"На ранних этапах духовной эволюции человечества человеческая фантазия создала по образу и подобию человека богов, которые, действуя по своей воле, должны были определять мир явлений [phenomenal world] или, во всяком случае, повлиять на него. Люди считали, что можно изменить предначертания богов в свою пользу посредством магии или молитвы. Идея Бога, как её подаёт религия, в настоящее время является сублимацией этой старой концепции богов. Её антропоморфный характер вытекает, например, из того факта, что человек обращается к божеству в молитве и просит его о выполнении своих желаний… В своей борьбе за этическое добро, учителя от религии должны иметь мужество отказаться от доктрины Бога как личности, то есть отказаться от этого источника страха и надежды, который в прошлом дал такую всеобъемлющую власть в руки служителей церкви. В своих работах они должны будут посвятить себя тем силам, которые способны культивировать Божественность, Истину и Красоту в самом человечестве.
",ранний этап духовный эволюция человечество человеческий фантазия создавать образ подобие человек бог который действовать свой воля должный определять мир явление phenomenal world всякий случай повлиять человек считать изменять предначертание бог свой польза посредством магия молитва идея бог подавать религия настоящий время являться сублимация старый концепция бог антропоморфный характер вытекать например факт человек обращаться божество молитва просить выполнение свой желание … свой борьба этический добро учитель религия должный иметь мужество отказываться доктрина бог личность отказываться источник страх надежда который прошлый давать всеобъемлющий власть рука служитель церковь свой работа должный посвящать сила который способный культивировать божественность истина красота человечество
"Я действительно считаю, что чрезмерный акцент на сугубо интеллектуальную позицию в нашем образовании, часто целиком направленному на практику и факты, непосредственно привёл к обесцениванию этических ценностей. Я не так много думаю об опасностях, которые технический прогресс непосредственно предъявляет человечеству, такими как удушение совместных размышлений «материально-фактической» привычкой мыслить, которая пролегла убийственным морозом между человеческими взаимоотношениями.  Страшная дилемма мировой политической ситуации имеет много общего с этим греховным упущением со стороны нашей цивилизации. Без «этической культуры» нет никакого спасения для человечества.
",действительно считать чрезмерный акцент сугубо интеллектуальный позиция наш образование часто целиком направлять практика факт непосредственно приводить обесценивание этический ценность думать опасность который технический прогресс непосредственно предъявлять человечество удушение совместный размышление  « материально фактический »  привычка мыслить который пролегать убийственный мороз человеческий взаимоотношение страшный дилемма мировой политический ситуация иметь общий греховный упущение сторона наш цивилизация  « этический культура »  никакой спасение человечество
"Я хочу быть кремированным, чтобы люди не приходили поклоняться моим костям.
",хотеть кремировать человек приходить поклоняться кость
"Один из критериев истинности научного знания — внутреннее совершенство теории.
",критерий истинность научный знание  —  внутренний совершенство теория
"Сообщения о моей религиозности являются чистейшей ложью. Ложью, которая настырно повторяется! Я не верю в персонализированного Бога. Своё отношение к богу я выражал ясно и никогда не отказывался от своих слов. Если же что-то из моих высказываний может показаться кому-то религиозными, то это, вероятно, — моё безграничное восхищение структурой мироздания, насколько наша наука может её постичь.
","сообщение религиозность являться чистый ложь ложь который настырно повторяться верить персонализировать бог свой отношение бог выражать ясно отказываться свой слово что-то высказывание мочь показываться кто-то религиозный это вероятно , —  безграничный восхищение структура мироздание насколько наш наука мочь постигать"
"То, что вы читали о моих религиозных убеждениях — разумеется, ложь. Ложь, которую систематически повторяют. Я не верю в Бога как в личность и никогда не скрывал этого, а выражал очень ясно. Если во мне есть что-то, что можно назвать религиозным, то это, несомненно, беспредельное восхищение строением вселенной в той мере, в какой наука раскрывает его. Идея персонифицированного божества никогда не была мне близка и кажется довольно наивной.
",читать религиозный убеждение  —  разуметься ложь ложь который систематически повторять верить бог личность скрывать это выражать очень ясно что-то называть религиозный это несомненно беспредельный восхищение строение вселенная мера наука раскрывать идея персонифицировать божество близкий казаться довольно наивный
"Религия будущего будет космической религией. Она должна будет преодолеть представление о Боге как личности, а также избежать догм и теологии. Охватывая и природу и дух, она будет основываться на религиозном чувстве, возникающем из переживания осмысляемого единства всех вещей — и природных, и духовных. Такому описанию соответствует буддизм. Если и есть религия, которая сможет удовлетворять современным научным потребностям, — это буддизм.
","религия будущее космический религия должный преодолевать представление бог личность также избегать догма теология охватывать природа дух основываться религиозный чувство возникать переживание осмыслять единство весь вещь  —  природный духовный описание соответствовать буддизм религия который смочь удовлетворять современный научный потребность , —  это буддизм"
"Перед нами эпидемический бред, который, принеся бесконечные страдания, вновь исчезнет и через несколько поколений будет вызывать всеобщее удивление, как нечто чудовищное и непостижимое.
",эпидемический бред который приносить бесконечный страдание вновь исчезать несколько поколение вызывать всеобщий удивление нечто чудовищный непостижимый
"Проблемы не могут быть решены на том же уровне мышления, который создал их.
",проблема мочь решать уровень мышление который создавать
"Слова были и остаются пустым звуком; и, служа идеалу лишь на словах, погибнуть за него невозможно. Но личность творится не тем, что человек слышит и говорит, а трудом и деятельностью.
",слово оставаться пустой звук служить идеал лишь слово погибать невозможно личность твориться человек слышать говорить труд деятельность
"Единственное, чему научила меня моя долгая жизнь: что вся наша наука перед лицом реальности выглядит примитивно и по-детски наивно — и всё же это самое ценное, что у нас есть.
",единственный научать долгий жизнь весь наш наука лицо реальность выглядеть примитивно по-детски наивно  —  это самый ценный
"У человечества есть все основания ставить провозвестников моральных ценностей выше, чем открывателей научных истин.
",человечество весь основание ставить провозвестник моральный ценность высокий открыватель научный истина
"Законы математики, имеющие какое-либо отношение к реальному миру, ненадёжны; а надёжные математические законы не имеют отношения к реальному миру.
",закон математика иметь какой-либо отношение реальный мир ненадежный надежный математический закон иметь отношение реальный мир
"Вечная загадка мира — это его познаваемость. …Сам факт этой познаваемости представляется чудом.
",вечный загадка мир  —  это познаваемость … факт познаваемость представляться чудо
"Квантовая механика действительно впечатляет. Но внутренний голос говорит мне, что это ещё не идеал. Эта теория говорит о многом, но всё же не приближает нас к разгадке тайны Всевышнего. По крайней мере, я уверен, что Он не бросает кости.
",квантовый механика действительно впечатлять внутренний голос говорить это идеал теория говорить многое приближать разгадка тайна всевышний крайний мера уверенный бросать кость
"Высшая музыкальность в области мысли.
",высокий музыкальность область мысль
"Процесс научных открытий — это, в сущности, непрерывное бегство от чудес.
",процесс научный открытие  —  это сущность непрерывный бегство чудо
"Решение физических проблем — это детская игра по сравнению с научно-психологическими исследованиями детской игры.
",решение физический проблема  —  это детский игра сравнение научно психологический исследование детский игра
"Cамая трудная для понимания вещь на свете — это подоходный налог.
",самый трудный понимание вещь свет  —  это подоходный налог
"Освобожденная энергия атомного ядра многое поставила под сомнение, в том числе и наш образ мысли. Если человек так и не сможет думать по-новому, мы неизбежно будем двигаться навстречу беспрецедентной катастрофе.
",освобождать энергия атомный ядро многое поставлять сомнение число наш образ мысль человек смочь думать по-новому неизбежно двигаться навстречу беспрецедентный катастрофа
"Благодаря тому, что сегодня теория относительности удовлетворяет вкусам читателей, в Германии меня называют немецким учёным, а для Англии я являюсь швейцарским евреем. Если же дойдёт до моего очернения, то характеристики поменяются местами, и для Германии я стану швейцарским евреем, а для Англии — немецким учёным.
",благодаря сегодня теория относительность удовлетворять вкус читатель германия называть немецкий ученый англия являться швейцарский еврей доходить очернение характеристика поменяться место германия становиться швейцарский еврей англия  —  немецкий ученый
"Слава делает меня всё глупее и глупее, что, впрочем, вполне обычно.
",слава делать глупый глупый вполне обычно
"Первопроходцы мира без войн - это молодые люди, отказывающиеся служить в армии.
",первопроходец мир война это молодой человек отказываться служить армия
"Свобода человека в современном мире похожа на свободу человека, разгадывающего кроссворд: теоретически, он может вписать любое слово, но на самом деле он должен вписать только одно, чтобы кроссворд решился.
",свобода человек современный мир похожий свобода человек разгадывать кроссворд теоретически мочь вписывать любой слово самый дело должный вписывать кроссворд решаться
"Невозможно решить проблему на том же уровне, на котором она возникла. Нужно стать выше этой проблемы, поднявшись на следующий уровень.
",невозможно решать проблема уровень который возникать нужно становиться высокий проблема подниматься следующий уровень
"Ничто не принесет такой пользы человеческому здоровью и не увеличит шансы сохранения жизни на Земле, как распространение вегетарианства.
",ничто приносить польза человеческий здоровье увеличивать шанс сохранение жизнь земля распространение вегетарианство
"Значительные проблемы, с которыми мы сталкиваемся, не могут быть решены на том же уровне мышления, на котором мы были при их появлении.
",значительный проблема который сталкиваться мочь решать уровень мышление который появление
"Я — глубоко религиозный безбожник. Можно сказать, что это своего рода новая религия.
", —  глубоко религиозный безбожник сказать это свой род новый религия
"Пока законы математики остаются определёнными, они не имеют ничего общего с реальностью; как только у них появляется нечто общее с реальностью, они перестают быть определёнными.
",пока закон математика оставаться определенный иметь ничто общий реальность появляться нечто общий реальность переставать определять
"Идея персонифицированного божества никогда не была мне близка и кажется довольно наивной.
",идея персонифицировать божество близкий казаться довольно наивный
"Международные законы существуют только в сборниках международных законов.
",международный закон существовать сборник международный закон
"Идеалами, освещавшими мой путь и сообщавшими мне смелость и мужество, были добро, красота и истина
",идеал освещать путь сообщать смелость мужество добро красота истина
"Совершенные средства при неясных целях — характерный признак нашего времени.
",совершенный средство неясный цель  —  характерный признак наш время
